,Rank,Released,Movie,DomesticBox Office,InternationalBox Office,WorldwideBox Office
74,75,2007,Pirates of the Caribbean: At World's End,"$309,420,425","$654,000,000","$963,420,425"
75,76,1983,Star Wars Ep. VI: Return of the Jedi,"$309,205,079","$263,500,000","$572,705,079"
76,77,1996,Independence Day,"$306,169,255","$511,231,623","$817,400,878"
77,78,2003,Pirates of the Caribbean: The Curse of the Blac…,"$305,411,224","$329,542,879","$634,954,103"
78,79,2012,Skyfall,"$304,360,277","$806,166,704","$1,110,526,981"
79,80,2012,The Hobbit: An Unexpected Journey,"$303,003,568","$714,000,000","$1,017,003,568"
80,81,2009,Harry Potter and the Half-Blood Prince,"$302,089,278","$633,124,489","$935,213,767"
81,82,2010,The Twilight Saga: Eclipse,"$300,531,751","$405,571,077","$706,102,828"
82,83,2009,The Twilight Saga: New Moon,"$296,623,634","$390,934,093","$687,557,727"
83,84,2010,Harry Potter and the Deathly Hallows: Part I,"$296,131,568","$664,300,000","$960,431,568"
84,85,1999,The Sixth Sense,"$293,506,292","$379,300,000","$672,806,292"
85,86,2009,Up,"$293,004,164","$438,459,213","$731,463,377"
86,87,2010,Inception,"$292,576,195","$539,825,887","$832,402,082"
87,88,2012,"The Twilight Saga: Breaking Dawn, Part 2","$292,324,737","$537,400,000","$829,724,737"
88,89,2007,Harry Potter and the Order of the Phoenix,"$292,137,260","$650,939,197","$943,076,457"
89,90,2005,"The Chronicles of Narnia: The Lion, the Witch a…","$291,710,957","$428,828,615","$720,539,572"
90,91,2013,Man of Steel,"$291,045,518","$376,954,000","$667,999,518"
91,92,1980,Star Wars Ep. V: The Empire Strikes Back,"$290,271,960","$243,889,374","$534,161,334"
92,93,2005,Harry Potter and the Goblet of Fire,"$290,201,752","$606,898,042","$897,099,794"
93,94,2001,"Monsters, Inc.","$289,423,425","$270,334,294","$559,757,719"
94,95,1990,Home Alone,"$285,761,243","$190,923,432","$476,684,675"
95,96,2015,The Hunger Games: Mockingjay - Part 2,"$281,723,902","$367,262,885","$648,986,787"
96,97,2003,The Matrix Reloaded,"$281,553,689","$457,023,240","$738,576,929"
97,98,2011,"The Twilight Saga: Breaking Dawn, Part 1","$281,287,133","$408,132,918","$689,420,051"
98,99,2004,Meet the Fockers,"$279,167,575","$237,400,000","$516,567,575"
99,100,2009,The Hangover,"$277,322,503","$188,441,583","$465,764,086"
100,101,2013,Gravity,"$274,092,705","$419,605,968","$693,698,673"
101,102,2018,The Grinch,"$270,620,950","$240,387,329","$511,008,279"
102,103,2016,Sing,"$270,329,045","$364,125,744","$634,454,789"
103,104,2013,Monsters University,"$268,488,329","$475,100,000","$743,588,329"
104,105,2001,Shrek,"$267,655,011","$224,157,783","$491,812,794"
105,106,2017,Despicable Me 3,"$264,624,300","$770,198,073","$1,034,822,373"
106,107,2002,Harry Potter and the Chamber of Secrets,"$262,233,381","$616,991,754","$879,225,135"
107,108,2012,The Amazing Spider-Man,"$262,030,663","$495,859,604","$757,890,267"
108,109,2004,The Incredibles,"$261,441,092","$353,285,660","$614,726,752"
109,110,2000,How the Grinch Stole Christmas,"$260,044,825","$85,096,578","$345,141,403"
110,111,1975,Jaws,"$260,000,000","$210,700,000","$470,700,000"
111,112,2014,Captain America: The Winter Soldier,"$259,746,958","$454,654,931","$714,401,889"
112,113,2013,The Hobbit: The Desolation of Smaug,"$258,366,855","$702,000,000","$960,366,855"
113,114,2014,The Lego Movie,"$257,784,718","$199,944,670","$457,729,388"
114,115,2009,Star Trek,"$257,730,019","$129,109,595","$386,839,614"
115,116,2007,I am Legend,"$256,393,010","$329,139,674","$585,532,684"
116,117,2009,The Blind Side,"$255,959,475","$49,746,319","$305,705,794"
117,118,2014,The Hobbit: The Battle of the Five Armies,"$255,119,788","$690,457,833","$945,577,621"
118,119,2011,The Hangover Part II,"$254,464,305","$332,000,000","$586,464,305"
119,120,2010,Despicable Me,"$251,513,985","$291,950,588","$543,464,573"
120,121,1989,Batman,"$251,188,924","$160,160,000","$411,348,924"
121,122,2006,Night at the Museum,"$250,863,268","$328,583,139","$579,446,407"
122,123,1997,Men in Black,"$250,690,539","$337,100,000","$587,790,539"
123,124,2004,Harry Potter and the Prisoner of Azkaban,"$249,757,726","$547,149,597","$796,907,323"
124,125,2016,Moana,"$248,757,044","$388,760,321","$637,517,365"
125,126,1999,Toy Story 2,"$245,852,179","$265,506,097","$511,358,276"
126,127,2014,Transformers: Age of Extinction,"$245,439,076","$858,600,000","$1,104,039,076"
127,128,2006,Cars,"$244,082,982","$217,568,264","$461,651,246"
128,129,2003,Bruce Almighty,"$242,704,995","$241,763,613","$484,468,608"
129,130,1984,Ghostbusters,"$242,212,467","$53,000,000","$295,212,467"
130,131,1996,Twister,"$241,688,385","$254,011,615","$495,700,000"
131,132,2002,My Big Fat Greek Wedding,"$241,438,208","$133,451,826","$374,890,034"
132,133,2014,Maleficent,"$241,407,328","$517,129,407","$758,536,735"
