,Rank,Released,Movie,DomesticBox Office,InternationalBox Office,WorldwideBox Office
341,342,2005,Fantastic Four,"$154,696,080","$178,436,670","$333,132,750"
342,343,2008,Horton Hears a Who,"$154,529,439","$144,948,447","$299,477,886"
343,344,1988,Who Framed Roger Rabbit?,"$154,112,492","$197,387,508","$351,500,000"
344,345,1996,Jerry Maguire,"$153,952,592","$120,047,408","$274,000,000"
345,346,2016,Trolls,"$153,707,064","$190,365,169","$344,072,233"
346,347,1987,Beverly Hills Cop II,"$153,665,036","$123,000,000","$276,665,036"
347,348,2015,Mad Max: Fury Road,"$153,636,354","$216,461,666","$370,098,020"
348,349,2002,Scooby-Doo,"$153,294,164","$123,000,000","$276,294,164"
349,350,1961,101 Dalmatians,"$153,000,000","$301,581","$153,301,581"
350,351,2017,Cars 3,"$152,901,115","$230,648,036","$383,549,151"
351,352,2008,Sex and the City,"$152,647,258","$262,600,000","$415,247,258"
352,353,1999,Runaway Bride,"$152,257,509","$157,880,669","$310,138,178"
353,354,2016,La La Land,"$151,101,803","$275,422,363","$426,524,166"
354,355,2014,Divergent,"$150,947,895","$125,067,070","$276,014,965"
355,356,1985,Rambo: First Blood Part II,"$150,415,432","$149,984,568","$300,400,000"
356,357,2013,We're the Millers,"$150,394,119","$117,422,157","$267,816,276"
357,358,2003,Terminator 3: Rise of the Machines,"$150,358,296","$282,700,000","$433,058,296"
358,359,2015,Daddy's Home,"$150,357,137","$92,400,000","$242,757,137"
359,360,2009,G.I. Joe: The Rise of Cobra,"$150,201,498","$152,267,519","$302,469,017"
360,361,2013,American Hustle,"$150,117,807","$107,760,487","$257,878,294"
361,362,2014,Neighbors,"$150,086,800","$120,857,628","$270,944,428"
362,363,2011,Puss in Boots,"$149,260,504","$405,726,973","$554,987,477"
363,364,2012,Les Miserables,"$148,809,770","$293,359,282","$442,169,052"
364,365,2007,Knocked Up,"$148,761,765","$70,504,187","$219,265,952"
365,366,1997,As Good as it Gets,"$148,478,011","$165,633,912","$314,111,923"
366,367,2010,Little Fockers,"$148,438,600","$162,211,974","$310,650,574"
367,368,2010,Megamind,"$148,415,853","$173,471,355","$321,887,208"
368,369,2012,Hotel Transylvania,"$148,313,048","$230,192,764","$378,505,812"
369,370,2006,Talladega Nights: The Ballad of Ricky Bobby,"$148,213,377","$14,657,148","$162,870,525"
370,371,1984,Gremlins,"$148,168,459","$31,056","$148,199,515"
371,372,2008,Gran Torino,"$148,095,302","$126,447,783","$274,543,085"
372,373,1989,Lethal Weapon 2,"$147,253,986","$80,046,014","$227,300,000"
373,374,2017,War for the Planet of the Apes,"$146,880,162","$342,712,105","$489,592,267"
374,375,2011,X-Men: First Class,"$146,408,305","$209,000,000","$355,408,305"
375,376,2009,Paul Blart: Mall Cop,"$146,336,178","$39,568,572","$185,904,750"
376,377,1994,True Lies,"$146,282,411","$219,017,589","$365,300,000"
377,378,2002,Lilo & Stitch,"$145,771,527","$100,028,473","$245,800,000"
378,379,2018,The Meg,"$145,443,742","$384,086,973","$529,530,715"
379,380,2001,American Pie 2,"$145,096,820","$141,403,180","$286,500,000"
380,381,2009,Taken,"$145,000,989","$81,940,596","$226,941,585"
381,382,2013,The Great Gatsby,"$144,840,419","$206,200,000","$351,040,419"
382,383,1994,The Santa Clause,"$144,833,357","$44,966,643","$189,800,000"
383,384,2004,"I, Robot","$144,801,023","$203,828,562","$348,629,585"
384,385,1992,Lethal Weapon 3,"$144,731,527","$174,968,473","$319,700,000"
385,386,2001,The Fast and the Furious,"$144,512,310","$62,000,000","$206,512,310"
386,387,1998,Doctor Dolittle,"$144,156,605","$150,000,000","$294,156,605"
387,388,2008,Mamma Mia!,"$144,130,063","$471,618,709","$615,748,772"
388,389,2011,Rio,"$143,619,809","$343,900,000","$487,519,809"
389,390,2016,Kung Fu Panda 3,"$143,528,619","$374,070,523","$517,599,142"
390,391,2007,Juno,"$143,495,265","$87,954,837","$231,450,102"
391,392,2008,Marley & Me,"$143,153,751","$104,658,260","$247,812,011"
392,393,2011,The Smurfs,"$142,614,158","$421,135,165","$563,749,323"
393,394,2002,xXx,"$141,930,000","$125,270,000","$267,200,000"
394,395,1967,The Jungle Book,"$141,843,000",$0,"$141,843,000"
395,396,2008,The Chronicles of Narnia: Prince Caspian,"$141,621,490","$275,719,798","$417,341,288"
396,397,1978,Animal House,"$141,600,000",$0,"$141,600,000"
397,398,1995,Pocahontas,"$141,579,773","$205,520,227","$347,100,000"
398,399,1992,A Few Good Men,"$141,340,178","$95,159,822","$236,500,000"
399,400,2008,Slumdog Millionaire,"$141,330,703","$243,199,737","$384,530,440"
400,401,1998,Rush Hour,"$141,186,864","$104,113,136","$245,300,000"
401,402,1999,The Blair Witch Project,"$140,539,099","$107,760,901","$248,300,000"
402,403,1998,Deep Impact,"$140,464,664","$209,000,000","$349,464,664"
403,404,2018,Ocean's Eight,"$140,218,711","$156,897,265","$297,115,976"
404,405,2007,Rush Hour 3,"$140,125,968","$116,459,914","$256,585,882"
405,406,1989,Look Who's Talking,"$140,088,813","$157,011,187","$297,100,000"
406,407,1999,Stuart Little,"$140,015,224","$158,800,000","$298,815,224"
407,408,2012,Taken 2,"$139,854,287","$237,953,117","$377,807,404"
408,409,1992,Sister Act,"$139,605,150","$91,994,850","$231,600,000"
409,410,1977,Saturday Night Fever,"$139,486,124","$142,913,876","$282,400,000"
410,411,2003,The Matrix Revolutions,"$139,270,910","$288,029,350","$427,300,260"
411,412,2002,The Santa Clause 2,"$139,225,854","$33,600,000","$172,825,854"
412,413,2010,The King's Speech,"$138,797,449","$292,023,719","$430,821,168"
413,414,2003,Cheaper by the Dozen,"$138,614,544","$51,597,569","$190,212,113"
414,415,2003,Bad Boys II,"$138,540,870","$134,731,112","$273,271,982"
415,416,2012,21 Jump Street,"$138,447,667","$64,364,762","$202,812,429"
416,417,1997,Good Will Hunting,"$138,433,435","$87,492,554","$225,925,989"
417,418,2017,Split,"$138,141,585","$140,823,221","$278,964,806"
418,419,1986,Platoon,"$137,963,328","$15,067","$137,978,395"
419,420,2009,A Christmas Carol,"$137,855,863","$177,853,834","$315,709,697"
420,421,2000,Dinosaur,"$137,748,063","$218,400,000","$356,148,063"
421,422,2018,Ready Player One,"$137,690,172","$441,599,964","$579,290,136"
422,423,2013,The Conjuring,"$137,400,141","$180,600,000","$318,000,141"
423,424,2006,Click,"$137,355,633","$100,329,456","$237,685,089"
424,425,1999,The Green Mile,"$136,801,374","$153,900,000","$290,701,374"
425,426,1996,Ransom,"$136,492,681","$172,207,319","$308,700,000"
426,427,1998,Godzilla,"$136,314,294","$239,685,706","$376,000,000"
427,428,1996,101 Dalmatians,"$136,189,294","$168,010,706","$304,200,000"
428,429,2012,Argo,"$136,025,503","$91,115,254","$227,140,757"
429,430,2003,Anger Management,"$135,560,942","$60,100,000","$195,660,942"
430,431,2005,Chicken Little,"$135,386,665","$174,657,158","$310,043,823"
431,432,1990,Teenage Mutant Ninja Turtles,"$135,265,915","$66,734,085","$202,000,000"
432,433,1998,Patch Adams,"$135,014,968","$67,158,032","$202,173,000"
433,434,1972,The Godfather,"$134,966,411","$133,533,589","$268,500,000"
434,435,2008,The Incredible Hulk,"$134,806,913","$130,766,946","$265,573,859"
435,436,2007,Live Free or Die Hard,"$134,529,403","$247,758,744","$382,288,147"
436,437,2008,Wanted,"$134,508,551","$207,907,909","$342,416,460"
437,438,2013,Identity Thief,"$134,506,920","$40,854,658","$175,361,578"
438,439,1978,Superman,"$134,218,018","$165,981,982","$300,200,000"
439,440,2014,Ride Along,"$134,202,565","$19,531,235","$153,733,800"
440,441,1996,The Rock,"$134,069,511","$202,000,000","$336,069,511"
441,442,2013,Grown Ups 2,"$133,668,525","$113,355,283","$247,023,808"
442,443,2006,Mission: Impossible III,"$133,501,348","$264,000,000","$397,501,348"
443,444,2009,Angels & Demons,"$133,375,846","$357,500,000","$490,875,846"
444,445,2004,Troy,"$133,298,577","$350,862,688","$484,161,265"
445,446,2011,Alvin and the Chipmunks: Chipwrecked,"$133,107,389","$215,981,134","$349,088,523"
446,447,2003,Bringing Down the House,"$132,675,402","$32,000,000","$164,675,402"
447,448,2013,The Wolverine,"$132,556,852","$283,900,000","$416,456,852"
448,449,2017,Wonder,"$132,422,809","$172,181,903","$304,604,712"
449,450,2006,The Departed,"$132,384,315","$157,276,304","$289,660,619"
450,451,2003,Hulk,"$132,177,234","$112,898,200","$245,075,434"
451,452,2012,Silver Linings Playbook,"$132,092,958","$104,319,495","$236,412,453"
452,453,2002,Minority Report,"$132,024,714","$226,800,000","$358,824,714"
453,454,2007,Fantastic Four: Rise of the Silver Surfer,"$131,921,738","$157,558,953","$289,480,691"
454,455,2010,The Last Airbender,"$131,772,187","$187,941,694","$319,713,881"
455,456,2019,Shazam!,"$131,540,322","$215,031,303","$346,571,625"
456,457,2014,Rio 2,"$131,538,435","$361,307,856","$492,846,291"
457,458,2001,Lara Croft: Tomb Raider,"$131,144,183","$142,186,002","$273,330,185"
458,459,1991,The Silence of the Lambs,"$130,726,716","$145,000,000","$275,726,716"
459,460,1989,"Honey, I Shrunk the Kids","$130,724,172","$91,975,828","$222,700,000"
460,461,1994,The Flintstones,"$130,531,208","$227,968,792","$358,500,000"
461,462,1998,Lethal Weapon 4,"$130,444,603","$154,955,397","$285,400,000"
462,463,2008,Get Smart,"$130,319,208","$96,420,208","$226,739,416"
463,464,2015,The Divergent Series: Insurgent,"$130,179,072","$164,896,810","$295,075,882"
464,465,2015,The Peanuts Movie,"$130,178,411","$119,913,199","$250,091,610"
465,466,2017,Transformers: The Last Knight,"$130,168,683","$472,724,657","$602,893,340"
466,467,2007,American Gangster,"$130,164,645","$137,820,811","$267,985,456"
467,468,1999,American Beauty,"$130,058,047","$226,200,000","$356,258,047"
468,469,1982,An Officer and a Gentleman,"$129,795,554",$0,"$129,795,554"
469,470,2002,The Ring,"$129,094,024","$119,124,462","$248,218,486"
470,471,1996,The Nutty Professor,"$128,814,019","$145,000,000","$273,814,019"
471,472,2006,Borat,"$128,505,958","$132,937,284","$261,443,242"
472,473,2016,Ghostbusters,"$128,350,574","$100,658,084","$229,008,658"
473,474,2015,Kingsman: The Secret Service,"$128,261,724","$276,300,000","$404,561,724"
474,475,2005,Robots,"$128,200,012","$132,500,000","$260,700,012"
475,476,1988,Coming to America,"$128,152,301","$160,647,699","$288,800,000"
476,477,2000,"Crouching Tiger, Hidden Dragon","$128,067,808","$85,446,864","$213,514,672"
477,478,2010,Shutter Island,"$128,012,934","$171,448,848","$299,461,782"
478,479,2014,Into the Woods,"$128,002,372","$85,114,029","$213,116,401"
479,480,1985,Rocky IV,"$127,873,716","$172,500,000","$300,373,716"
480,481,2007,Enchanted,"$127,706,877","$212,677,264","$340,384,141"
481,482,2008,The Curious Case of Benjamin Button,"$127,509,326","$202,122,632","$329,631,958"
482,483,2016,Central Intelligence,"$127,440,871","$89,753,934","$217,194,805"
483,484,2013,Anchorman 2: The Legend Continues,"$127,352,707","$44,833,047","$172,185,754"
484,485,2002,Sweet Home Alabama,"$127,214,072","$55,151,042","$182,365,114"
485,486,2018,Bumblebee,"$127,195,589","$338,000,000","$465,195,589"
486,487,1994,Dumb & Dumber,"$127,175,374","$119,224,626","$246,400,000"
487,488,2003,2 Fast 2 Furious,"$127,120,058","$109,290,549","$236,410,607"
488,489,2011,Super 8,"$127,004,179","$130,968,566","$257,972,745"
489,490,1999,The World is Not Enough,"$126,930,660","$234,800,000","$361,730,660"
490,491,1997,My Best Friend's Wedding,"$126,813,153","$172,110,266","$298,923,419"
491,492,1977,Smokey and the Bandit,"$126,737,428",$0,"$126,737,428"
492,493,1993,Sleepless in Seattle,"$126,680,884","$101,218,442","$227,899,326"
493,494,2016,The Legend of Tarzan,"$126,643,061","$222,258,964","$348,902,025"
494,495,2007,Bee Movie,"$126,631,277","$160,963,300","$287,594,577"
495,496,2014,Lucy,"$126,573,960","$330,933,816","$457,507,776"
496,497,2012,Prometheus,"$126,477,084","$275,971,181","$402,448,265"
497,498,2002,Mr. Deeds,"$126,293,452","$44,976,083","$171,269,535"
498,499,2012,Safe House,"$126,181,630","$82,360,532","$208,542,162"
499,500,1985,The Dream is Alive,"$125,900,000",$0,"$125,900,000"
500,501,1998,The Truman Show,"$125,618,201","$138,500,000","$264,118,201"
501,502,2000,Erin Brockovich,"$125,548,685","$132,256,558","$257,805,243"
502,503,2004,Ocean's Twelve,"$125,531,634","$237,457,442","$362,989,076"
503,504,2009,Terminator Salvation,"$125,322,469","$240,169,323","$365,491,792"
504,505,2000,Charlie's Angels,"$125,305,545","$134,430,545","$259,736,090"
505,506,1997,Tomorrow Never Dies,"$125,304,276","$214,200,000","$339,504,276"
506,507,2013,Lone Survivor,"$125,095,601","$24,709,031","$149,804,632"
507,508,2016,Sully,"$125,070,033","$113,454,523","$238,524,556"
508,509,1982,Rocky III,"$125,049,125",$0,"$125,049,125"
509,510,2012,The Vow,"$125,014,030","$72,604,130","$197,618,160"
510,511,2012,Life of Pi,"$124,987,022","$495,924,981","$620,912,003"
511,512,2014,The Fault in Our Stars,"$124,872,350","$182,294,484","$307,166,834"
512,513,2009,Cloudy with a Chance of Meatballs,"$124,870,275","$111,957,402","$236,827,677"
513,514,2006,The Devil Wears Prada,"$124,740,460","$201,332,695","$326,073,155"
514,515,2003,Something's Gotta Give,"$124,685,242","$142,000,000","$266,685,242"
515,516,2000,Traffic,"$124,107,476","$84,192,524","$208,300,000"
516,517,1996,The Birdcage,"$124,060,553","$57,700,000","$181,760,553"
517,518,1991,City Slickers,"$124,033,791",$0,"$124,033,791"
518,519,1987,Good Morning Vietnam,"$123,922,370",$0,"$123,922,370"
519,520,2011,Rango,"$123,477,607","$122,246,993","$245,724,600"
520,521,2000,Nutty Professor II: The Klumps,"$123,307,945","$43,000,000","$166,307,945"
521,522,2015,The Good Dinosaur,"$123,087,120","$210,683,917","$333,771,037"
522,523,2013,G.I. Joe: Retaliation,"$122,523,060","$253,217,645","$375,740,705"
523,524,1994,Clear and Present Danger,"$122,012,656","$85,487,344","$207,500,000"
524,525,1992,The Bodyguard,"$121,945,720","$288,953,319","$410,899,039"
525,526,1992,Wayne's World,"$121,697,323","$61,400,000","$183,097,323"
526,527,2002,The Bourne Identity,"$121,468,960","$92,888,411","$214,357,371"
527,528,2007,Superbad,"$121,463,226","$48,491,916","$169,955,142"
528,529,1994,Speed,"$121,248,145","$161,951,855","$283,200,000"
529,530,2004,50 First Dates,"$120,776,832","$75,543,497","$196,320,329"
530,531,2009,Inglourious Basterds,"$120,774,594","$196,140,670","$316,915,264"
531,532,1990,The Hunt for Red October,"$120,709,866","$79,790,134","$200,500,000"
532,533,2018,Mamma Mia: Here We Go Again!,"$120,634,935","$271,824,610","$392,459,545"
533,534,1998,Mulan,"$120,620,254","$182,879,746","$303,500,000"
534,535,2003,Seabiscuit,"$120,277,854","$28,437,488","$148,715,342"
535,536,2004,Van Helsing,"$120,150,546","$180,000,000","$300,150,546"
536,537,2008,Four Christmases,"$120,146,040","$48,165,518","$168,311,558"
537,538,1994,The Mask,"$119,920,129","$231,700,000","$351,620,129"
538,539,2013,Cloudy with a Chance of Meatballs 2,"$119,793,567","$154,599,082","$274,392,649"
539,540,2007,I Now Pronounce You Chuck and Larry,"$119,725,280","$65,983,182","$185,708,462"
540,541,1991,Hook,"$119,654,823","$181,200,000","$300,854,823"
541,542,2005,Walk the Line,"$119,519,402","$68,188,093","$187,707,495"
542,543,1974,Blazing Saddles,"$119,500,000",$0,"$119,500,000"
543,544,2009,G-Force,"$119,436,770","$173,381,071","$292,817,841"
544,545,1990,Total Recall,"$119,394,839","$142,005,161","$261,400,000"
545,546,1981,On Golden Pond,"$119,285,432",$0,"$119,285,432"
546,547,2010,The Other Guys,"$119,219,978","$51,716,492","$170,936,470"
547,548,2004,Fahrenheit 9/11,"$119,114,517","$102,034,442","$221,148,959"
548,549,2007,Hairspray,"$118,871,849","$84,163,723","$203,035,572"
549,550,2006,The Break-Up,"$118,703,275","$87,024,032","$205,727,307"
550,551,2004,Lemony Snicket's A Series of Unfortunate Events,"$118,627,117","$94,328,907","$212,956,024"
551,552,2007,Blades of Glory,"$118,594,548","$27,000,000","$145,594,548"
552,553,2002,The Sum of All Fears,"$118,471,320","$75,028,680","$193,500,000"
553,554,1989,Back to the Future Part II,"$118,450,002","$213,549,998","$332,000,000"
554,555,2010,Salt,"$118,311,368","$172,339,126","$290,650,494"
555,556,1992,Basic Instinct,"$117,727,224","$234,972,776","$352,700,000"
556,557,2013,Now You See Me,"$117,723,989","$225,045,211","$342,769,200"
557,558,2000,Big Momma's House,"$117,559,438","$56,000,000","$173,559,438"
558,559,2011,Horrible Bosses,"$117,538,559","$94,879,042","$212,417,601"
559,560,2018,The Nun,"$117,450,119","$246,226,328","$363,676,447"
560,561,1990,Die Hard 2,"$117,323,878","$122,490,147","$239,814,025"
561,562,1976,Rocky,"$117,235,147","$107,764,853","$225,000,000"
562,563,2010,Jackass 3D,"$117,229,692","$54,456,101","$171,685,793"
563,564,2007,Ocean's Thirteen,"$117,144,465","$194,600,000","$311,744,465"
564,565,2013,The Wolf of Wall Street,"$116,900,694","$272,969,720","$389,870,414"
565,566,2003,S.W.A.T.,"$116,877,597","$90,277,151","$207,154,748"
566,567,1999,Double Jeopardy,"$116,735,231","$61,100,000","$177,835,231"
567,568,2002,8 Mile,"$116,724,075","$129,044,309","$245,768,384"
568,569,2013,Lee Daniels' The Butler,"$116,632,095","$60,393,403","$177,025,498"
569,570,2011,Green Lantern,"$116,601,172","$102,934,320","$219,535,492"
570,571,1999,Notting Hill,"$116,089,678","$247,638,407","$363,728,085"
571,572,1974,Towering Inferno,"$116,000,000","$23,700,000","$139,700,000"
572,573,1998,You've Got Mail,"$115,821,495","$134,978,505","$250,800,000"
573,574,2007,Ghost Rider,"$115,802,596","$113,742,993","$229,545,589"
574,575,2018,Creed II,"$115,715,889","$97,875,633","$213,591,522"
575,576,2000,Remember the Titans,"$115,654,751","$21,051,932","$136,706,683"
576,577,2009,District 9,"$115,646,235","$96,807,196","$212,453,431"
577,578,2014,Unbroken,"$115,637,895","$47,889,929","$163,527,824"
578,579,2018,Peter Rabbit,"$115,234,093","$231,902,384","$347,136,477"
579,580,2017,Girls Trip,"$115,108,515","$25,777,838","$140,886,353"
580,581,1986,"The Karate Kid, Part II","$115,103,979",$0,"$115,103,979"
581,582,1973,American Graffiti,"$115,000,000","$25,000,000","$140,000,000"
582,583,1988,Big,"$114,968,774","$36,700,000","$151,668,774"
583,584,2017,Fifty Shades Darker,"$114,434,010","$266,964,482","$381,398,492"
584,585,2004,Dodgeball: A True Underdog Story,"$114,326,736","$53,464,968","$167,791,704"
585,586,2004,The Village,"$114,197,520","$143,444,114","$257,641,634"
586,587,2008,Bolt,"$114,053,579","$213,961,450","$328,015,029"
587,588,1999,Wild Wild West,"$113,805,681","$107,423,654","$221,229,335"
588,589,2014,Night at the Museum: Secret of the Tomb,"$113,746,621","$240,010,000","$353,756,621"
589,590,2012,Magic Mike,"$113,721,571","$56,828,182","$170,549,753"
590,591,1991,The Addams Family,"$113,502,246","$78,000,000","$191,502,246"
591,592,2000,The Patriot,"$113,330,342","$101,969,658","$215,300,000"
592,593,2016,Bad Moms,"$113,257,297","$67,741,419","$180,998,716"
593,594,2012,The Bourne Legacy,"$113,203,870","$167,152,050","$280,355,920"
594,595,2005,The Pacifier,"$113,006,880","$85,000,000","$198,006,880"
595,596,2001,Dr. Dolittle 2,"$112,950,721","$63,151,000","$176,101,721"
596,597,2009,It's Complicated,"$112,735,375","$111,879,369","$224,614,744"
597,598,2001,Spy Kids,"$112,692,062","$85,000,000","$197,692,062"
598,599,1989,Ghostbusters II,"$112,494,738","$103,005,262","$215,500,000"
599,600,1997,Face/Off,"$112,276,146","$128,923,854","$241,200,000"
600,601,2013,The Hangover 3,"$112,200,072","$249,800,000","$362,000,072"
601,602,1988,Twins,"$111,936,388","$104,663,612","$216,600,000"
602,603,1965,Doctor Zhivago,"$111,897,830","$138,493","$112,036,323"
603,604,2003,Spy Kids 3-D: Game Over,"$111,760,631","$56,091,364","$167,851,995"
604,605,1998,Enemy of the State,"$111,549,836","$139,100,000","$250,649,836"
605,606,1989,The Little Mermaid,"$111,543,479","$110,756,279","$222,299,758"
606,607,2014,Mr. Peabody & Sherman,"$111,506,430","$158,300,000","$269,806,430"
607,608,2003,The Last Samurai,"$111,110,575","$345,700,000","$456,810,575"
608,609,2019,Glass,"$111,035,005","$134,268,500","$245,303,505"
609,610,2015,Spy!,"$110,825,712","$121,760,036","$232,585,748"
610,611,2005,Fun With Dick And Jane,"$110,550,000","$92,468,919","$203,018,919"
611,612,2008,Tropic Thunder,"$110,515,313","$80,629,943","$191,145,256"
612,613,2010,Valentine's Day,"$110,485,654","$107,083,674","$217,569,328"
613,614,2004,The Grudge,"$110,359,362","$76,921,753","$187,281,115"
614,615,2003,Freaky Friday,"$110,222,438","$50,600,000","$160,822,438"
615,616,2015,Trainwreck,"$110,212,700","$30,911,197","$141,123,897"
616,617,2008,Bedtime Stories,"$110,101,975","$111,366,960","$221,468,935"
617,618,2003,Scary Movie 3,"$110,000,082","$45,199,918","$155,200,000"
618,619,2015,Creed,"$109,767,581","$63,800,000","$173,567,581"
619,620,1986,Star Trek IV: The Voyage Home,"$109,713,132","$23,286,868","$133,000,000"
620,621,1982,Porky's,"$109,492,484",$0,"$109,492,484"
621,622,2005,The 40 Year-old Virgin,"$109,449,237","$67,894,993","$177,344,230"
622,623,1988,Crocodile Dundee 2,"$109,306,210","$130,300,000","$239,606,210"
623,624,2009,Couples Retreat,"$109,205,660","$63,244,763","$172,450,423"
624,625,1975,One Flew Over the Cuckoo's Nest,"$108,981,275","$16,354","$108,997,629"
625,626,1996,A Time to Kill,"$108,766,007","$43,500,000","$152,266,007"
626,627,2001,Black Hawk Down,"$108,638,745","$51,052,340","$159,691,085"
627,628,1983,Terms of Endearment,"$108,423,489",$0,"$108,423,489"
628,629,1995,Ace Ventura: When Nature Calls,"$108,360,063","$104,039,937","$212,400,000"
629,630,2001,The Princess Diaries,"$108,244,774","$57,090,000","$165,334,774"
630,631,2019,The Upside,"$108,235,497","$10,789,039","$119,024,536"
631,632,1981,Superman II,"$108,185,706",$0,"$108,185,706"
632,633,2011,Hop,"$108,085,305","$80,572,288","$188,657,593"
633,634,1994,Pulp Fiction,"$107,928,762","$105,000,000","$212,928,762"
634,635,2009,Paranormal Activity,"$107,918,810","$86,264,224","$194,183,034"
635,636,2017,Baby Driver,"$107,825,862","$120,278,323","$228,104,185"
636,637,1992,A League of Their Own,"$107,533,925","$24,906,141","$132,440,066"
637,638,2013,Epic,"$107,518,682","$155,275,759","$262,794,441"
638,639,2009,Watchmen,"$107,509,799","$79,466,451","$186,976,250"
639,640,2016,The Angry Birds Movie,"$107,509,366","$244,818,521","$352,327,887"
640,641,2019,Dumbo,"$107,474,962","$220,478,408","$327,953,370"
641,642,1997,Batman & Robin,"$107,325,195","$130,992,619","$238,317,814"
642,643,2013,Captain Phillips,"$107,136,417","$113,511,767","$220,648,184"
643,644,2010,Black Swan,"$106,954,678","$224,312,032","$331,266,710"
644,645,1999,Analyze This,"$106,885,658","$70,000,000","$176,885,658"
645,646,2000,Miss Congeniality,"$106,807,667","$106,613,284","$213,420,951"
646,647,2000,Chicken Run,"$106,793,915","$121,000,000","$227,793,915"
647,648,1993,Indecent Proposal,"$106,614,059","$159,985,941","$266,600,000"
648,649,1989,Driving Miss Daisy,"$106,593,296",$0,"$106,593,296"
649,650,2014,300: Rise of an Empire,"$106,580,051","$224,200,000","$330,780,051"
650,651,1995,Goldeneye,"$106,429,941","$250,000,000","$356,429,941"
651,652,1970,Love Story,"$106,397,186","$30,000,000","$136,397,186"
652,653,1979,Kramer vs. Kramer,"$106,260,000",$0,"$106,260,000"
653,654,2003,The Italian Job,"$106,126,012","$70,136,827","$176,262,839"
654,655,2003,How to Lose a Guy in 10 Days,"$105,807,520","$73,083,262","$178,890,782"
655,656,2019,The LEGO Movie 2: The Second Part,"$105,718,384","$82,907,238","$188,625,622"
656,657,1996,The First Wives Club,"$105,489,203","$76,000,000","$181,489,203"
657,658,2010,Robin Hood,"$105,487,148","$216,971,858","$322,459,006"
658,659,1994,Interview with the Vampire: The Vampire Chronicles,"$105,264,608","$118,300,000","$223,564,608"
659,660,1997,George Of The Jungle,"$105,263,257","$69,200,000","$174,463,257"
660,661,2017,Pitch Perfect 3,"$104,897,530","$80,838,882","$185,736,412"
661,662,1996,Phenomenon,"$104,636,382","$47,400,000","$152,036,382"
662,663,2009,The Princess and the Frog,"$104,400,899","$166,596,479","$270,997,378"
663,664,1967,The Graduate,"$104,397,102","$36,841","$104,433,943"
664,665,2010,The Chronicles of Narnia: The Voyage of the Daw…,"$104,386,950","$313,800,000","$418,186,950"
665,666,2003,American Wedding,"$104,354,205","$22,070,910","$126,425,115"
666,667,1978,Every Which Way but Loose,"$104,268,727",$0,"$104,268,727"
667,668,2003,Daddy Day Care,"$104,148,781","$60,136,806","$164,285,587"
668,669,2002,Road to Perdition,"$104,054,514","$79,300,000","$183,354,514"
669,670,2017,Daddy's Home 2,"$104,029,443","$71,777,740","$175,807,183"
670,671,2011,Paranormal Activity 3,"$104,028,807","$103,011,037","$207,039,844"
671,672,2012,Journey 2: The Mysterious Island,"$103,860,290","$214,285,872","$318,146,162"
672,673,2018,The Mule,"$103,804,407","$67,053,269","$170,857,676"
673,674,1990,Dick Tracy,"$103,738,726","$59,000,000","$162,738,726"
674,675,2012,Rise of the Guardians,"$103,412,758","$203,488,144","$306,900,902"
675,676,2006,Dreamgirls,"$103,365,956","$52,342,739","$155,708,695"
676,677,1980,Nine to Five,"$103,290,500","$9,647","$103,300,147"
677,678,2016,Independence Day: Resurgence,"$103,144,286","$281,025,138","$384,169,424"
678,679,2010,The Expendables,"$103,068,524","$165,199,650","$268,268,174"
679,680,1996,Scream,"$103,046,663","$70,000,000","$173,046,663"
680,681,2011,Just Go With It,"$103,028,109","$111,946,844","$214,974,953"
681,682,1978,Jaws 2,"$102,922,376","$105,978,000","$208,900,376"
682,683,2017,Murder on the Orient Express,"$102,826,543","$243,096,187","$345,922,730"
683,684,1942,Bambi,"$102,797,000","$165,203,000","$268,000,000"
684,685,1999,The General's Daughter,"$102,705,852","$47,000,000","$149,705,852"
685,686,2004,The Aviator,"$102,608,827","$105,762,065","$208,370,892"
686,687,2003,Daredevil,"$102,543,518","$80,239,000","$182,782,518"
687,688,2011,The Girl with the Dragon Tattoo,"$102,515,793","$136,858,177","$239,373,970"
688,689,2008,The Mummy: Tomb of the Dragon Emperor,"$102,491,776","$303,268,449","$405,760,225"
689,690,2016,The Conjuring 2: The Enfield Poltergeist,"$102,470,008","$208,792,094","$311,262,102"
690,691,2014,The Maze Runner,"$102,427,862","$245,891,999","$348,319,861"
691,692,1969,Butch Cassidy and the Sundance Kid,"$102,308,900","$1,753","$102,310,653"
692,693,1964,Mary Poppins,"$102,272,145",$0,"$102,272,145"
693,694,1993,In the Line of Fire,"$102,243,874","$85,100,000","$187,343,874"
694,695,2017,Annabelle: Creation,"$102,092,201","$203,292,664","$305,384,865"
695,696,2018,The Equalizer 2,"$102,084,362","$88,368,770","$190,453,132"
696,697,2013,Jackass Presents: Bad Grandpa,"$102,003,019","$58,900,000","$160,903,019"
697,698,2013,Pacific Rim,"$101,802,906","$309,200,000","$411,002,906"
698,699,1999,American Pie,"$101,800,948","$132,922,200","$234,723,148"
699,700,2008,Journey to the Center of the Earth,"$101,704,370","$141,476,567","$243,180,937"
700,701,2000,Gone in 60 Seconds,"$101,643,008","$131,000,000","$232,643,008"
701,702,1994,Maverick,"$101,631,272","$81,383,965","$183,015,237"
